name,type,description,ordered
FamilyUse_Ever,integer,[Have any family members or close friends you know ever used opioids/prescription pain medication illicitly obtained or used in a way not prescribed by a doctor?] The next set of questions are about your own personal experiences or the experiences of any f,True
FamilyOverdose_Ever,integer,[Have any of your family members or close friends ever overdosed from opioids/prescription pain medication?] The next set of questions are about your own personal experiences or the experiences of any family members or close friends.,True
FamilyConviction_Ever,integer,[Have any of your family members or close friends ever been convicted of any misdemeanor or felony crime?] The next set of questions are about your own personal experiences or the experiences of any family members or close friends.,True
FamilyIncarceration_Ever,integer,[Have any of your family members or close friends ever been incarcerated in jail or prison?] The next set of questions are about your own personal experiences or the experiences of any family members or close friends.,True
STARTDT_JCOIN,number,JCOIN section start date/time,
ENDDT_JCOIN,number,JCOIN section end date/time,
duration_JCOIN,number,JCOIN Omnibus Section: Interview duration in minutes,
SURV_MODE,integer,Survey interview mode (online or phone),True
SURV_LANG,integer,Survey Interview Language,True
Device,string,Device,True
GENDER,integer,Respondent male/female sex,True
AGE4,integer,Age - 4 Categories,True
AGE7,integer,Age - 7 Categories,True
RACETHNICITY,integer,Combined Race/Ethnicity,True
EDUC4,integer,4-level education,True
MARITAL,integer,Marital Status,True
EMPLOY,integer,Current Employment Status,True
REGION4,integer,4-level region,True
METRO,integer,Metropolitan area flag,True
INTERNET,integer,"HH internet access via dial-up, DSL, or cable broadband at home",True
HOUSING,integer,Home Ownership,True
HOME_TYPE,integer,Type of building of panelists' residence,True
PHONESERVICE,integer,Telephone service for the household,True
HHSIZE,integer,Household size (including children),True
HH612,integer,Number of HH members age 6-12,True
HH1317,integer,Number of HH members age 13-17,True
HH18OV,integer,Number of HH members age 18+,True
Stigma_Scale_Score,number,Stigma scale: average score of 6 stigma items; higher scores indicate higher stigma.,
KB_B_AnyUse_Correct,integer,"Anyone who uses opioids long-term for pain has an opioid addiction [False]: disagreement coded as ""correct""",True
KB_E_QuitAnytime_Correct,integer,"A person struggling with opioid use disorder/addiction can quit using anytime if they choose [False]: disagreement coded as ""correct""",True
KB_I_RockBottom_Correct,integer,"A person struggling with opioid use disorder/addiction must hit rock bottom before they are ready to accept treatment [False]: disagreement coded as ""correct""",True
KB_J_EasyFind_Correct,integer,"It is easy to find good opioid use disorder treatment [False]: disagreement coded as ""correct""",True
KB_N_MedAbuse_Correct,integer,"Medication for opioid use disorder (e.g., methadone, buprenorphine/suboxone, or naltrexone/vivitrol) is just substituting one form of drug abuse for another type of drug abuse [False]: disagreement coded as ""correct""",True
KB_A_Definition_Correct,integer,Opioid addiction is defined by a person continuing to use opioids despite negative consequences [True]: agreement coded as correct,True
KB_F_StopBreathing_Correct,integer,"When misused, opioids can slow your breathing or even cause you to stop breathing entirely and lead to an overdose or death [True]: agreement coded as correct",True
KB_G_Recover_Correct,integer,Evidence-based treatments for opioid use disorder can recover people from opioid addiction [True]: agreement coded as correct,True
KB_H_MedicalCondition_Correct,integer,Opioid use disorder is a medical condition like other chronic health conditions [True]: agreement coded as correct,True
KB_K_FDA_Correct,integer,The FDA has approved medications that are effective in treating opioid use disorder/addiction [True]: agreement coded as correct,True
Policy_Attitudes_Scale,number,Policy attitudes scale score from average of eight items. Higher scores indicate more support for policies benefitting those with OUD.,
Discrimination_Scale_Score,number,Acceptance of discrimination scale score from average of four items. Higher scores indicate more acceptance of discrimination.,
KnowledgeScore_new,integer,"Sum of 10 knowledge-based items, with higher scores indicating more knowledge.",True
Criminality_Scale_Score,number,Perceptions of criminality scale score. Average of five items with higher scores indicating more perceived criminality toward those with OUD.,
PS_A_Medicaid,number,"I favor expanding Medicaid insurance benefits for low income families to provide coverage for treatment of opioid use disorders/addiction problems, including addiction to prescription pain medications",
PS_B_Naloxone,number,"I favor making naloxone (also known as 'Narcan'), a medication that can quickly reverse the effects of a person experiencing an opioid overdose, widely available and affordable without a prescription",
PS_C_Mandatory,number,I believe that making drug treatment mandatory is an effective way to help people with an opioid use disorder,
PS_D_GovSpend,number,I favor increasing government spending to improve treatment of opioid use disorder/addiction,
DS_E_Schools,number,High schools and colleges should be allowed to dismiss or expel a person with an opioid use disorder/addiction,
DS_F_Physicians,number,Physicians and other healthcare providers should be allowed to refuse to treat a person with an opioid use disorder/addiction,
DS_G_Employers,number,Employers should be allowed to deny employment to a person with a current opioid use disorder/addiction,
DS_H_Landlords,number,Landlords should be allowed to deny housing to a person with a current opioid use disorder/addiction,
PS_I_SeekMedical,number,I favor passing laws to protect people from criminal charges for drug crimes if they seek medical help for experiencing an opioid/prescription pain medication problem,
PS_J_JailHealth,number,I believe that incarceration/jail is an effective way to improve the health of people with an opioid use disorder,
PS_K_JailOverdose,number,I believe that incarceration/jail is an effective way to reduce the risk of overdosing for people with an opioid use disorder,
PS_L_JailTreatment,number,"I believe that people in jail/prison with an opioid use disorder/addiction problem should get access to medication for opioid use disorder (e.g., methadone, buprenorphine, or naltrexone)",
SS_E_Dangerous,number,People with a current addiction to opioids/prescription pain medications are more dangerous than the general population,
SS_F_Trust,number,A person who is currently addicted to opioids/prescription pain medication cannot be trusted,
SS_A_HistoryWork,number,I would be willing to have a person with a past history of opioid use disorder/addiction start working closely with me on a job,
SS_B_HistoryMarry,number,I am comfortable having a person with a past history of opioid use disorder/addiction marry into my family,
SS_C_CurrentWork,number,I would be willing to have a person with a current opioid use disorder/addiction start working closely with me on a job,
SS_D_CurrentMarry,number,I would be comfortable having a person with a current opioid use disorder/addiction marry into my family,
CS_A_Obtain,number,I favor arresting and prosecuting people who obtain opioids/pain medication from sources other than a medical provider,
CS_B_Use,number,I favor arresting and prosecuting people who use opioids in a way not as prescribed by a doctor,
CS_C_SentencedJail,number,People found guilty of misuse of opioids/prescription pain medication need to be sentenced to jail or prison,
CS_D_IncarceratedAccess,number,Individuals who are incarcerated with an opioid use disorder/addiction should get access to evidence-based treatment while incarcerated,
CS_E_ParoleAccess,number,Individuals who are on parole or probation with an opioid use disorder/addiction should get access to evidence-based treatment,
KB_A_Definition,number,Opioid addiction is defined by a person continuing to use opioids despite negative consequences,
KB_B_AnyUse,number,Anyone who uses opioids long-term for pain has an opioid addiction,
KB_C_SelfControl,number,Most people who develop and/or struggle with opioid use disorder/addiction lack self-control,
KB_D_MoralFail,number,Misuse of opioids is a moral failing,
KB_E_QuitAnytime,number,A person struggling with opioid use disorder/addiction can quit using anytime if they choose,
KB_F_StopBreathing,number,"When misused, opioids can slow your breathing or even cause you to stop breathing entirely and lead to an overdose or death",
KB_G_Recover,number,Evidence-based treatments for opioid use disorder can recover people from opioid addiction,
KB_H_MedicalCondition,number,Opioid use disorder is a medical condition like other chronic health conditions,
KB_I_RockBottom,number,A person struggling with opioid use disorder/addiction must hit rock bottom before they are ready to accept treatment,
KB_J_EasyFind,number,It is easy to find good opioid use disorder treatment,
KB_K_FDA,number,The FDA has approved medications that are effective in treating opioid use disorder/addiction,
KB_L_JailHelps,number,Jailing someone with an opioid use disorder for at least a few days will help them by reducing their risk for an overdose,
KB_M_MedHoax,number,"Medication for opioid use disorder (e.g., methadone, buprenorphine, or naltrexone) is a hoax",
KB_N_MedAbuse,number,"Medication for opioid use disorder (e.g., methadone, buprenorphine/suboxone, or naltrexone/vivitrol) is just substituting one form of drug abuse for another type of drug abuse",
KB_O_LongTerm,number,People with an opioid use disorder/addiction need long-term treatment with medications,
KB_P_Responsible,number,People who misuse opioids can function as responsible members of society,
PS_A_Medicaid_REV,number,Reverse Coded Variable,
PS_B_Naloxone_REV,number,Reverse Coded Variable,
PS_D_GovSpend_REV,number,Reverse Coded Variable,
PS_L_JailTreatment_REV,number,Reverse Coded Variable,
PS_J_JailHealth_REV,number,Reverse Coded Variable,
PS_K_JailOverdose_REV,number,Reverse Coded Variable,
SS_A_HistoryWork_REV,number,Reverse Coded Variable,
SS_B_HistoryMarry_REV,number,Reverse Coded Variable,
SS_C_CurrentWork_REV,number,Reverse Coded Variable,
SS_D_CurrentMarry_REV,number,Reverse Coded Variable,
CS_D_IncarceratedAccess_REV,number,Reverse Coded Variable,
CS_E_ParoleAccess_REV,number,Reverse Coded Variable,
KB_A_Definition_REV,number,Reverse Coded Variable,
KB_F_StopBreathing_REV,number,Reverse Coded Variable,
KB_G_Recover_REV,number,Reverse Coded Variable,
KB_H_MedicalCondition_REV,number,Reverse Coded Variable,
KB_K_FDA_REV,number,Reverse Coded Variable,
KB_P_Responsible_REV,number,Reverse Coded Variable,
Income_relativeMedian,integer,Income variable coded into approximately above and below the median for their state.,True
MedicaidExpansionState,integer,State medicaid expansion status,True
CrimJustExp_personal,integer,Personal incarceration and conviction combined.,True
CrimJustExp_family,integer,Family/friend incarceration or conviction combined.,True
Incarceration_forOUD,number,"Incarceration for OUD factor analysis scale, with higher scores indicating more support for incarcerating those who misuse opioids.",
JusticeBased_Intervention,number,"Justice based interventions for OUD factor analysis scale, with higher scores indicating more agreement with interventions for OUD involving the justice system",
OpioidMisandCrimJust_personal,integer,Personal opioid misuse and criminal justice experience.,True
Stigma_BipolarScaleOnly,number,Stigma scale score of ONLY cases that completed the survey with the bipolar scale,
Stigma_UnipolarScaleOnly,number,Stigma scale score of ONLY cases that completed the survey with the unipolar scale,
Discrimination_UnipolarScaleOnly,number,Discrimination scale score of ONLY cases that completed the survey with the bipolar scale,
Discrimination_BipolarScaleOnly,number,Discrimination scale score of ONLY caes that completed the survey with the unipolar scale,
DisregardofOUD,number,"Disregard of OUD factor analysis scale, with higher scores indicating more disregard of OUD as a medical condition",
racedummy_WHITE1,integer,No description,True
racedummy_BLACK1,integer,No description,True
racedummy_OTHER1,integer,No description,True
racedummy_HISPANIC1,integer,No description,True
racedummy_MULTI1,integer,No description,True
racedummy_ASIAN1,integer,No description,True
SEX01,integer,No description,True
educationdichot_COLLEGE1,integer,No description,True
employdichot_EMPLOYED1,integer,No description,True
incomedichot_ABOVEMED1,integer,No description,True
PersonalOpioidMisuse_YES1,integer,No description,True
FamilyOpioidMisuse_YES1,integer,No description,True
AnyCrimJustPersonal_YES1,integer,No description,True
AnyCrimJustFamily_YES1,integer,No description,True
educationdummy_LESSHS1,integer,No description,True
educationdummy_SOMECOLLEGE1,integer,No description,True
educationdummy_HSDIPLOMA1,integer,No description,True
educationdummy_COLLEGEDEGREE1,integer,No description,True
incomedummy_LESS25K,integer,No description,True
incomedummy_25to49K,integer,No description,True
incomedummy_50to84K,integer,No description,True
incomedummy_85to150K,integer,No description,True
incomedummy_OVER150K,integer,No description,True
RACE_1,integer,RACETHNICITY=1.0,True
RACE_2,integer,RACETHNICITY=2.0,True
RACE_3,integer,RACETHNICITY=3.0,True
RACE_4,integer,RACETHNICITY=4.0,True
RACE_5,integer,RACETHNICITY=5.0,True
RACE_6,integer,RACETHNICITY=6.0,True
EMPLOYMENT_1,integer,EMPLOY=Working - as a paid employee,True
EMPLOYMENT_2,integer,EMPLOY=Working - self-employed,True
EMPLOYMENT_3,integer,EMPLOY=Not working - on temporary layoff from a job,True
EMPLOYMENT_4,integer,EMPLOY=Not working - looking for work,True
EMPLOYMENT_5,integer,EMPLOY=Not working - retired,True
EMPLOYMENT_6,integer,EMPLOY=Not working - disabled,True
EMPLOYMENT_7,integer,EMPLOY=Not working - other,True
ZEMPLOYMENT_1,number,Zscore:  EMPLOY=Working - as a paid employee,
ZEMPLOYMENT_2,number,Zscore:  EMPLOY=Working - self-employed,
ZEMPLOYMENT_3,number,Zscore:  EMPLOY=Not working - on temporary layoff from a job,
ZEMPLOYMENT_4,number,Zscore:  EMPLOY=Not working - looking for work,
ZEMPLOYMENT_5,number,Zscore:  EMPLOY=Not working - retired,
ZEMPLOYMENT_6,number,Zscore:  EMPLOY=Not working - disabled,
ZEMPLOYMENT_7,number,Zscore:  EMPLOY=Not working - other,
Zincomedummy_LESS25K,number,Zscore(incomedummy_LESS25K),
Zincomedummy_25to49K,number,Zscore(incomedummy_25to49K),
Zincomedummy_50to84K,number,Zscore(incomedummy_50to84K),
Zincomedummy_85to150K,number,Zscore(incomedummy_85to150K),
Zincomedummy_OVER150K,number,Zscore(incomedummy_OVER150K),
ZPersonalOpioidMisuse_YES1,number,Zscore(PersonalOpioidMisuse_YES1),
ZFamilyOpioidMisuse_YES1,number,Zscore(FamilyOpioidMisuse_YES1),
ZAnyCrimJustPersonal_YES1,number,Zscore(AnyCrimJustPersonal_YES1),
ZAnyCrimJustFamily_YES1,number,Zscore(AnyCrimJustFamily_YES1),
Zeducationdummy_LESSHS1,number,Zscore(educationdummy_LESSHS1),
Zeducationdummy_SOMECOLLEGE1,number,Zscore(educationdummy_SOMECOLLEGE1),
Zeducationdummy_HSDIPLOMA1,number,Zscore(educationdummy_HSDIPLOMA1),
Zeducationdummy_COLLEGEDEGREE1,number,Zscore(educationdummy_COLLEGEDEGREE1),
ZSEX01,number,Zscore(SEX01),
ZDisregardofOUD,number,"Zscore:  Disregard of OUD factor analysis scale, with higher scores indicating more disregard of OUD as a medical condition",
Zracedummy_WHITE1,number,Zscore(racedummy_WHITE1),
Zracedummy_BLACK1,number,Zscore(racedummy_BLACK1),
Zracedummy_OTHER1,number,Zscore(racedummy_OTHER1),
Zracedummy_HISPANIC1,number,Zscore(racedummy_HISPANIC1),
Zracedummy_MULTI1,number,Zscore(racedummy_MULTI1),
Zracedummy_ASIAN1,number,Zscore(racedummy_ASIAN1),
ZCriminality_Scale_Score,number,Zscore:  Perceptions of criminality scale score. Average of five items with higher scores indicating more perceived criminality toward those with OUD.,
ZDiscrimination_Scale_Score,number,Zscore:  Acceptance of discrimination scale score from average of four items. Higher scores indicate more acceptance of discrimination.,
ZPolicy_Attitudes_Scale,number,Zscore:  Policy attitudes scale score from average of eight items. Higher scores indicate more support for policies benefitting those with OUD.,
ZStigma_Scale_Score,number,Zscore:  Stigma scale: average score of 6 stigma items; higher scores indicate higher stigma.,
AGE4_1,integer,AGE4=18-29,True
AGE4_2,integer,AGE4=30-44,True
AGE4_3,integer,AGE4=45-59,True
AGE4_4,integer,AGE4=60+,True
PS_I_SeekMedical_Bi_REV,integer,No description,True
PS_I_SeekMedical_Uni_REV,integer,No description,True
ZPS_I_SeekMedical_Uni_REV,number,Zscore(PS_I_SeekMedical_Uni_REV),
ZPS_I_SeekMedical_Bi_REV,number,Zscore(PS_I_SeekMedical_Bi_REV),
Z_PS_I_SeekMedical_REV,number,No description,
PS_I_SeekMedical_REV,number,No description,
PS_C_Mandatory_Bi_REV,integer,No description,True
PS_C_Mandatory_Uni_REV,integer,No description,True
ZPS_C_Mandatory_Uni_REV,number,Zscore(PS_C_Mandatory_Uni_REV),
ZPS_C_Mandatory_Bi_REV,number,Zscore(PS_C_Mandatory_Bi_REV),
Z_PS_C_Mandatory_REV,number,No description,
PS_C_Mandatory_REV,number,No description,
NEW_Policy_Scale_rev,number,Policy scale coded so higher scores indicate less endorsement of supportive policies,
ZNEW_Policy_Scale_rev,number,Zscore:  Policy scale coded so higher scores indicate less endorsement of supportive policies,
ZSco01,number,Zscore(NEW_Policy_Scale_rev)  Policy scale coded so higher scores indicate less endorsement of supportive policies,
