name,type,description,ordered
Family_Know_Treatment,integer,[I would want my friends and family to know if I sought treatment for an opioid use disorder.] Do you disagree or agree with the following statements about opioid use disorder?,True
Friend_Tell_Treatment,integer,[I would want my friend to tell me if they sought treatment for an opioid use disorder.] Do you disagree or agree with the following statements about opioid use disorder?,True
Encourage_Friend_Treatment,integer,[I would encourage my friend to seek treatment if they had an opioid use disorder.] Do you disagree or agree with the following statements about opioid use disorder?,True
Treatment_Separate_Healthcare,integer,[Treatment for opioid use disorder should be delivered separately from general health care services.] Do you disagree or agree with the following statements about opioid use disorder?,True
GeneralHCP_Treatment,integer,[General health care providers should not be responsible for treating individuals with an opioid use disorder.] Do you disagree or agree with the following statements about opioid use disorder?,True
GeneralHCP_Trained,integer,[General health care providers should be required to receive training on treatment for opioid use disorders.] Do you disagree or agree with the following statements about opioid use disorder?,True
GeneralHCP_NoTreat,integer,[I would not want my general health care provider to treat individuals with an opioid use disorder.] Do you disagree or agree with the following statements about opioid use disorder?,True
Opinion_Changed,integer,[My opinions about opioid use disorder have changed over the last 5 years.] Do you disagree or agree with the following statements about opioid use disorder?,True
At_Risk,integer,[…I think I would be considered “at risk” for developing an opioid use disorder.] Do you disagree or agree with the following statements about opioid use disorder?,True
Recovery_Common,integer,[Recovery is the most common outcome for individuals with an opioid use disorder.] Do you disagree or agree with the following statements about opioid use disorder?,True
Failing_Common,integer,[Multiple failed attempts is a common characteristic of recovery from opioid use disorder.] Do you disagree or agree with the following statements about opioid use disorder?,True
Recovery_Religious,integer,[Religious in nature] Please rank the following statements corresponding to your personal definition of recovery.,True
Recovery_Spiritual,integer,[Spiritual in nature and has nothing to do with religion] Please rank the following statements corresponding to your personal definition of recovery.,True
Recovery_PhysicalMental,integer,[Physical and mental in nature and has nothing to do with spirituality or religion] Please rank the following statements corresponding to your personal definition of recovery.,True
Recovery_Contributes,integer,[Living a life that contributes to society] Please rank the following statements corresponding to your personal definition of recovery.,True
Recovery_EnhancedQuality,integer,[Enhanced quality of life] Please rank the following statements corresponding to your personal definition of recovery.,True
Recovery_ProfHelp,integer,[Seeking professional help] Please rank the following statements corresponding to your personal definition of recovery.,True
Recovery_Purpose,integer,[Having a sense of purpose in life] Please rank the following statements corresponding to your personal definition of recovery.,True
Recovery_ControlledUse,integer,[Moderate/controlled use of any drug and alcohol] Please rank the following statements corresponding to your personal definition of recovery.,True
Recovery_NoDrugUse,integer,[No use of any drug] Please rank the following statements corresponding to your personal definition of recovery.,True
Recovery_Abstaining,integer,[Abstaining from any substance use] Please rank the following statements corresponding to your personal definition of recovery.,True
RecovHelp_PCP,integer,[Be referred to a Primary Care Physician] Please rank the following statements what you think is most helpful for recovery.,True
RecovHelp_Inpatient,integer,[Be referred to an Intensive Inpatient Program] Please rank the following statements what you think is most helpful for recovery.,True
RecovHelp_SelfHelp,integer,[Be referred to a Self-help Group] Please rank the following statements what you think is most helpful for recovery.,True
RecovHelp_Therapist,integer,[Be referred to a Therapist/Psychologist/Social Worker] Please rank the following statements what you think is most helpful for recovery.,True
RecovHelp_Medication,integer,[Be prescribed Medication] Please rank the following statements what you think is most helpful for recovery.,True
RecovHelp_TalkFamily,integer,[Talk to Family and Friends] Please rank the following statements what you think is most helpful for recovery.,True
RecovHelp_NaturalHealer,integer,[Be referred to a spiritual or natural healer] Please rank the following statements what you think is most helpful for recovery.,True
RecovHelp_FBO,integer,[Be referred to a faith-based organization/institution] Please rank the following statements what you think is most helpful for recovery.,True
PS_A_Medicaid,integer,[I favor expanding Medicaid insurance benefits for low income families…] Do you disagree or agree with the following statements?,True
PS_B_Naloxone,integer,[I favor making naloxone…widely available and affordable without a prescription.] Do you disagree or agree with the following statements?,True
PS_C_Mandatory,integer,[I believe that making treatment mandatory is an effective way to…] Do you disagree or agree with the following statements?,True
PS_D_GovSpend,integer,[I favor increasing government spending to improve treatment of opioid use disorder.] Do you disagree or agree with the following statements?,True
Laws_Protect_Treatment,integer,[I favor passing laws to protect people from criminal charges for drug related crimes…] Do you disagree or agree with the following statements?,True
Access_Med_Jail,integer,[I believe that people in jail/prison with an opioid use disorder should be allowed access to medication…] Do you disagree or agree with the following statements?,True
Req_Treat_Prob,integer,[Individuals who are on parole or probation with an opioid use disorder should be required to attend substance use treatment.] Do you disagree or agree with the following statements?,True
SS_A_HistoryWork,integer,[I would be willing to have a person with a past history of opioid use disorder start working closely with me on a job.] Do you disagree or agree with the following statements?,True
SS_C_CurrentWork,integer,[I would be willing to have a person with a current opioid use disorder start working closely with me on a job.] Do you disagree or agree with the following statements?,True
SS_D_CurrentMarry,integer,[I would be comfortable having a person with a current opioid use disorder marry into my family.] Do you disagree or agree with the following statements?,True
SS_B_HistoryMarry,integer,[I am comfortable having a person with a past history of opioid use disorder marry into my family.] Do you disagree or agree with the following statements?,True
SS_E_Dangerous,integer,[People with a current opioid use disorder are more dangerous than the general population.] Do you disagree or agree with the following statements?,True
SS_F_Trust,integer,[A person who currently has an opioid use disorder cannot be trusted.] Do you disagree or agree with the following statements?,True
OUD_FunctionWell,integer,[Individuals with an opioid use disorder can generally function well in their daily lives.] Do you disagree or agree with the following statements?,True
Know_Where_Help,integer,[I would know where to go if I needed to find help for a friend with an opioid use disorder.] Do you disagree or agree with the following statements?,True
OUDResources_Adequate,integer,[Our community has adequate resources to help individuals with an opioid use disorder.] Do you disagree or agree with the following statements?,True
News_Influence,integer,[The news media has influenced my opinions of individuals with an opioid use disorder.] Do you disagree or agree with the following statements?,True
Media_Influence,integer,[Popular media has influenced my opinions of individuals with an opioid use disorder.] Do you disagree or agree with the following statements?,True
PersonalUse_Ever,integer,Have you ever misused opioids of any kind?,True
PersonalUse_Last,integer,When was the last time you used heroin or opioids illicitly obtained or used in a way not prescribed by a doctor?,True
PersonalUse_First,integer,"Since you used heroin or opioids in the past 6 months, is this your first time misusing opioids/prescription pain medications?",True
Treat_6mos,integer,"During the past 6 months, have you received treatment for your opioid/prescription pain medication misuse?",True
Treat_Hospital,integer,[Hospital] Where did you receive treatment for your opioid/prescription pain medication misuse in the past 6 months?,True
Treat_RehabFac,integer,[Rehabilitation facility] Where did you receive treatment for your opioid/prescription pain medication misuse in the past 6 months?,True
Treat_MHcenter,integer,[Mental health center or facility] Where did you receive treatment for your opioid/prescription pain medication misuse in the past 6 months?,True
Treat_ER,integer,[Emergency room] Where did you receive treatment for your opioid/prescription pain medication misuse in the past 6 months?,True
Treat_PrivateDoc,integer,[Private doctor's office] Where did you receive treatment for your opioid/prescription pain medication misuse in the past 6 months?,True
Treat_SelfHelp,integer,[Self-help group] Where did you receive treatment for your opioid/prescription pain medication misuse in the past 6 months?,True
Treat_CommunityBased,integer,[Community-based recovery support] Where did you receive treatment for your opioid/prescription pain medication misuse in the past 6 months?,True
Treat_Other,integer,[Other – please specify:] Where did you receive treatment for your opioid/prescription pain medication misuse in the past 6 months?,True
Treat_OtherText,string,[TEXTBOX] Where did you receive treatment for your opioid/prescription pain medication misuse in the past 6 months?,True
Treat_DK,integer,[DON'T KNOW] Where did you receive treatment for your opioid/prescription pain medication misuse in the past 6 months?,True
Treat_SKP,integer,[SKIPPED ON WEB] Where did you receive treatment for your opioid/prescription pain medication misuse in the past 6 months?,True
Treat_REF,integer,[REFUSED] Where did you receive treatment for your opioid/prescription pain medication misuse in the past 6 months?,True
Treat_MAT,integer,Have you received Medication Assisted Treatment (MAT)?,True
MAT_Methadone,integer,[Methadone] How is your Medication Assisted Treatment given to you?,True
MAT_OralBup,integer,[Oral Buprenorphine] How is your Medication Assisted Treatment given to you?,True
MAT_InjectBup,integer,[Injectable Buprenorphine] How is your Medication Assisted Treatment given to you?,True
MAT_Naltrexone,integer,[Naltrexone] How is your Medication Assisted Treatment given to you?,True
MAT_Other,integer,[Other – please specify:] How is your Medication Assisted Treatment given to you?,True
MAT_OtherText,string,[TEXTBOX] How is your Medication Assisted Treatment given to you?,True
MAT_DK,integer,[DON'T KNOW] How is your Medication Assisted Treatment given to you?,True
MAT_SKP,integer,[SKIPPED ON WEB] How is your Medication Assisted Treatment given to you?,True
MAT_REF,integer,[REFUSED] How is your Medication Assisted Treatment given to you?,True
PersonalOverdose_Ever,integer,Have you ever overdosed from using opioids?,True
PersonalOverdose_Times,integer,How many times have you ever overdosed after taking opioids?,True
PersonalOverdose_Last,integer,When was the last time you overdosed after taking opioids?,True
Narcan_Personal,integer,"To your knowledge, did someone administer naloxone (Narcan) to revive you?",True
PersonalConviction_Ever,integer,[Have you ever been convicted of any misdemeanor or felony crime?] Please answer yes or no to the following questions:,True
PersonalIncarceration_Ever,integer,[Have you ever been incarcerated in jail or prison?] Please answer yes or no to the following questions:,True
FamilyOUD,integer,[Have any family members or close friends ever had an opioid use disorder or misused opioids?] Please answer yes or no to the following questions:,True
FamilyOverdose_Ever,integer,[Have any of your family members or close friends ever overdosed from using opioids? ] Please answer yes or no to the following questions:,True
FamilyConviction_Ever,integer,[Have any of your family members or close friends ever been convicted of any misdemeanor or felony crime?] Please answer yes or no to the following questions:,True
FamilyIncarceration_Ever,integer,[Have any of your family members or close friends ever been incarcerated in jail or prison?] Please answer yes or no to the following questions:,True
Narcan_Family,integer,"To your knowledge, did someone administer naloxone (Narcan) to revive them?",True
Protest_Participant,integer,"In the past month, have you participated in a public protest or gathering of more than 50 people?",True
Protest_Arrested,integer,Were you arrested as a part of your participation?,True
PrimaryCare_Last,integer,When is the last time you saw a primary care doctor?,True
Personal_COVIDtest,integer,"Have you been tested for COVID-19 (coronavirus)? If so, what was the result?",True
Household_COVIDtest,integer,Has anyone else in your household (not counting yourself) been tested for COVID-19 (coronavirus)?,True
duration_NORCND,number,NORC-ND Omnibus Section: Interview duration in minutes,
SURV_MODE,integer,Survey interview mode (online or phone),True
SURV_LANG,integer,Survey Interview Language,True
Device,string,Device,True
GENDER,integer,Respondent gender,True
AGE4,integer,Age - 4 Categories,True
AGE7,integer,Age - 7 Categories,True
RACETHNICITY,integer,Combined Race/Ethnicity,True
EDUC4,integer,4-level education,True
MARITAL,integer,Marital Status,True
EMPLOY,integer,Current Employment Status,True
REGION4,integer,4-level region,True
METRO,integer,Metropolitan area flag,True
INTERNET,integer,"HH internet access via dial-up, DSL, or cable broadband at home",True
HOUSING,integer,Home Ownership,True
HOME_TYPE,integer,Type of building of panelists' residence,True
PHONESERVICE,integer,Telephone service for the household,True
HHSIZE,integer,Household size (including children),True
HH612,integer,Number of HH members age 6-12,True
HH1317,integer,Number of HH members age 13-17,True
HH18OV,integer,Number of HH members age 18+,True
Positive_COVIDtest,integer,Tested positively for COVID.,True
PersonalCrimJust_Ever,integer,Combined personal conviction or incarceration.,True
FamilyCrimJust_Ever,integer,Combined family/friend conviction or incarceration.,True
ANY_COVIDtest,integer,Self or household tested for COVID,True
Income_relativeMedian,integer,Income above or below median for state,True
FamilyUse_Ever,integer,Family or friend opioid use disorder,True
Stigma_Scale_Score,number,Average stigma score,
Policy_4ITEM_Scale,number,Average 4-item policy score,
PersonalMisuse_Lifetime,integer,Lifetime personal opioid misuse,True
PersonalMisuse_Recent,integer,Personal opioid misuse in past 12 months,True
PersonalOverdose_Lifetime,integer,Lifetime personal opioid overdose,True
PersonalOverdose_Recent,integer,Personal opioid overdose in past 12 months,True
FamFriendMisuse_Lifetime,integer,Lifetime family or friend opioid misuse,True
FamFriendMisuse_Recent,integer,Family or friend opioid misuse in past 12 months,True
FamFriendOverdose_Lifetime,integer,Lifetime family or friend opioid overdose,True
FamFriendOverdose_Recent,integer,Family or friend opioid overdose in past 12 months,True
PersonalCrimJust_Recent,integer,Personal conviction or incarceration within past 12 months,True
FamilyCrimJust_Recent,integer,Family or friend conviction or incarceration within past 12 months,True
SelfHousehold_COVIDtested,integer,Self or household member tested for COVID,True
SelfHousehold_COVIDpositive,integer,Self or household member tested positively for COVID,True
HOTSPOT_Survey,integer,Lived in a hotspot state during survey,True
Education_COLLEGE,integer,At least some college education,True
EMPLOYED_vs_NOT,integer,Self-employed or paid employee,True
ZKB_Medications_Recover,number,Zscore:  [People with an opioid use disorder need medications in order to recover.] Do you disagree or agree with the following statements about opioid use disorder?,
ZKB_Treat_Recover,number,Zscore:  [Some forms of substance use treatment is effective at helping people recover from an opioid use disorder.] Do you disagree or agree with the following statements about opioid use disorder?,
ZKB_E_QuitAnytime,number,Zscore:  [A person struggling with an opioid use disorder can choose to quit using at any time if they put their mind to it.] Do you disagree or agree with the following statements about opioid use disorder?,
ZKB_C_SelfControl,number,Zscore:  [Most people who develop and/or struggle with an opioid use disorder lack self-control.] Do you disagree or agree with the following statements about opioid use disorder?,
ZLaws_Protect_Treatment,number,Zscore:  [I favor passing laws to protect people from criminal charges for drug related crimes…] Do you disagree or agree with the following statements?,
ZAccess_Med_Jail,number,Zscore:  [I believe that people in jail/prison with an opioid use disorder should be allowed access to medication…] Do you disagree or agree with the following statements?,
ZReq_Treat_Prob,number,Zscore:  [Individuals who are on parole or probation with an opioid use disorder should be required to attend substance use treatment.] Do you disagree or agree with the following statements?,
ZRecovery_Common,number,Zscore:  [Recovery is the most common outcome for individuals with an opioid use disorder.] Do you disagree or agree with the following statements about opioid use disorder?,
ZFailing_Common,number,Zscore:  [Multiple failed attempts is a common characteristic of recovery from opioid use disorder.] Do you disagree or agree with the following statements about opioid use disorder?,
incomedummy_LESS25K,integer,"Income less than $25,000",True
incomedummy_25to49K,integer,"Income $25,000-49,999",True
incomedummy_50to84K,integer,"Income $50,000-84,999",True
incomedummy_85to150K,integer,"Income $85,000-150,000",True
incomedummy_OVER150K,integer,"Income over $150,000",True
HH05,integer,No description,True
INCOME4,integer,Household income (4 categories),True
