name,type,encodings,constraints.enum
Release_Incarcerated,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
SS_A_HistoryWork,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
SS_C_CurrentWork,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
SS_D_CurrentMarry,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
SS_B_HistoryMarry,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
SS_E_Dangerous,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
SS_F_Trust,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
SS_CurrentSteal,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
SS_HistorySteal,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
SS_CurrentHighRisk,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
SS_HistoryHighRisk,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
RACE_WhiteAdvantage,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
RACE_Successful,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
RACE_Prison,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
RACE_SocServices,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
RACE_Opportunity,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
RACE_MinAdvantage,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
RACE_Rich,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
RACE_WhiteBlame,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
RACE_Discrimination,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
RACE_LearnAbility,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
RACE_Education,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
RACE_Motivation,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
Personal_COVIDtest,integer,"1.0=Yes, I have tested positive for COVID-19|2.0=Yes, I have NEVER tested positive for COVID-19|3.0=Yes, but I do not know the result|4.0=No, I have never been tested, but I experienced COVID-19 symptoms|5.0=No, I have never been tested and I have not had symptoms of COVID-19|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED",1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
TestReason_Sick,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
TestReason_Exposed,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
TestReason_Required,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
TestReason_HighRisk,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
TestReason_Spread,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
TestReason_Free,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
TestReason_Know,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
HH_TestPositive,integer,0.0=No|1.0=Yes,0.0|1.0
HH_TestNegative,integer,0.0=No|1.0=Yes,0.0|1.0
HH_TestUnknown,integer,0.0=No|1.0=Yes,0.0|1.0
HH_COVIDSymptoms,integer,0.0=No|1.0=Yes,0.0|1.0
HH_NoCOVID,integer,0.0=No|1.0=Yes,0.0|1.0
HH_NoMembers,integer,0.0=No|1.0=Yes,0.0|1.0
HH_DK,integer,0.0=No|1.0=Yes,0.0|1.0
HH_SKP,integer,0.0=No|1.0=Yes,0.0|1.0
HH_REF,integer,0.0=No|1.0=Yes,0.0|1.0
HH_COVIDdeath,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
WashHands,integer,"1.0=No, I don’t think it is necessary|2.0=No, I would like to but I cannot|3.0=Yes|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED",1.0|2.0|3.0|98.0|99.0|77.0
AvoidTransit,integer,"1.0=No, I don’t think it is necessary|2.0=No, I would like to but I cannot|3.0=Yes|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED",1.0|2.0|3.0|98.0|99.0|77.0
LessGroups10,integer,"1.0=No, I don’t think it is necessary|2.0=No, I would like to but I cannot|3.0=Yes|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED",1.0|2.0|3.0|98.0|99.0|77.0
SixFeet,integer,"1.0=No, I don’t think it is necessary|2.0=No, I would like to but I cannot|3.0=Yes|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED",1.0|2.0|3.0|98.0|99.0|77.0
WearMask,integer,"1.0=No, I don’t think it is necessary|2.0=No, I would like to but I cannot|3.0=Yes|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED",1.0|2.0|3.0|98.0|99.0|77.0
OtherMeasure,integer,"1.0=No, I don’t think it is necessary|2.0=No, I would like to but I cannot|3.0=Yes|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED",1.0|2.0|3.0|98.0|99.0|77.0
Restaurant,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
Visitors,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
Gathering,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
SharedItems,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
OthersNoMask,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
SelfNoMask,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
SocDisBelief,integer,0.0=No|1.0=Yes,0.0|1.0
COVIDunlikely,integer,0.0=No|1.0=Yes,0.0|1.0
SicknessBelief,integer,0.0=No|1.0=Yes,0.0|1.0
StayedOutside,integer,0.0=No|1.0=Yes,0.0|1.0
SocObligation,integer,0.0=No|1.0=Yes,0.0|1.0
SocDisOther,integer,0.0=No|1.0=Yes,0.0|1.0
SocDisDK,integer,0.0=No|1.0=Yes,0.0|1.0
SocDis_DK,integer,0.0=No|1.0=Yes,0.0|1.0
SocDis_SKP,integer,0.0=No|1.0=Yes,0.0|1.0
SocDis_REF,integer,0.0=No|1.0=Yes,0.0|1.0
VaxPlans,integer,"0.0=No, I will not get a coronavirus vaccine|1.0=Yes, I will get a coronavirus vaccine as soon as it is available to me|2.0=Yes, I will get a coronavirus vaccine, but I will wait until it is proven to be safe and effective|77.0=DontKnow",0.0|1.0|2.0|77.0
Vax_ProtectFam,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
Vax_ProtectComm,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
Vax_ProtectSelf,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
Vax_DocRec,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
Vax_NormalLife,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
Vax_MostPublic,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
Vax_Other,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
NoVax_Allergic,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
NoVax_Needles,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
NoVax_NoConcern,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
NoVax_Time,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
NoVax_GetInfected,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
NoVax_SideEffect,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
NoVax_DontWork,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
NoVax_Politics,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
NoVax_NotSerious,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
NoVax_MostPublic,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
NoVax_Other,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
Change_Famous,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
Change_Friends,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
Change_MajPublic,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
Change_Free,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
Change_DocRec,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
Change_Nothing,integer,0.0=No|1.0=Yes|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|98.0|99.0|77.0
FluVax,integer,"1.0=Yes, I already got the vaccine this year|2.0=Yes, I plan to get the vaccine this year|3.0=No, not this year|4.0=No, I never get the vaccine|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED",1.0|2.0|3.0|4.0|98.0|99.0|77.0
Nervous_PastMonth,integer,1.0=All of the time|2.0=Most of the time|3.0=A good bit of the time|4.0=Some of the time|5.0=A little of the time|6.0=None of the time|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|6.0|98.0|99.0|77.0
Downhearted_PastMonth,integer,1.0=All of the time|2.0=Most of the time|3.0=A good bit of the time|4.0=Some of the time|5.0=A little of the time|6.0=None of the time|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|6.0|98.0|99.0|77.0
Calm_PastMonth,integer,1.0=All of the time|2.0=Most of the time|3.0=A good bit of the time|4.0=Some of the time|5.0=A little of the time|6.0=None of the time|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|6.0|98.0|99.0|77.0
Dumps_PastMonth,integer,1.0=All of the time|2.0=Most of the time|3.0=A good bit of the time|4.0=Some of the time|5.0=A little of the time|6.0=None of the time|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|6.0|98.0|99.0|77.0
Happy_PastMonth,integer,1.0=All of the time|2.0=Most of the time|3.0=A good bit of the time|4.0=Some of the time|5.0=A little of the time|6.0=None of the time|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|6.0|98.0|99.0|77.0
Alcohol_days,integer,0.0=|1.0=|2.0=|3.0=|4.0=|5.0=|6.0=|7.0=|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|2.0|3.0|4.0|5.0|6.0|7.0|98.0|99.0|77.0
Cannabis_days,integer,0.0=|1.0=|2.0=|3.0=|4.0=|5.0=|6.0=|7.0=|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|2.0|3.0|4.0|5.0|6.0|7.0|98.0|99.0|77.0
OtherRecDrug_days,integer,0.0=|1.0=|2.0=|3.0=|4.0=|5.0=|6.0=|7.0=|77.0=Dont Know|98.0=Skipped on Web|99.0=Refused,0.0|1.0|2.0|3.0|4.0|5.0|6.0|7.0|98.0|99.0|77.0
Distrust_Research,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
Distrust_Ask,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
Distrust_Harm,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
Distrust_Protect,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
Distrust_Consent,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
Distrust_Medication,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
Distrust_Experiment,integer,1.0=Strongly disagree|2.0=Somewhat disagree|3.0=Neither disagree nor agree|4.0=Somewhat agree|5.0=Strongly agree|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|5.0|98.0|99.0|77.0
PersonalUse_Ever,integer,1.0=No|2.0=Yes|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|99.0|98.0|77.0
PersonalUse_Last,integer,1.0=Past 6 months|2.0=7 – 12 months ago|3.0=1-5 years ago|4.0=5+ years ago|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|3.0|4.0|98.0|99.0|77.0
PersonalConviction_Ever,integer,"1.0=Yes, within the last year|2.0=Yes, more than a year ago|3.0=No|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED",1.0|2.0|3.0|98.0|99.0|77.0
PersonalIncarceration_Ever,integer,"1.0=Yes, within the last year|2.0=Yes, more than a year ago|3.0=No|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED",1.0|2.0|3.0|98.0|99.0|77.0
FamilyUse_Ever,integer,"1.0=Yes, within the last year|2.0=Yes, more than a year ago|3.0=No|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED",
FamilyConviction_Ever,integer,"1.0=Yes, within the last year|2.0=Yes, more than a year ago|3.0=No|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED",1.0|2.0|3.0|98.0|99.0|77.0
FamilyIncarceration_Ever,integer,"1.0=Yes, within the last year|2.0=Yes, more than a year ago|3.0=No|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED",1.0|2.0|3.0|98.0|99.0|77.0
STARTDT_JCOIN,datetime,,
ENDDT_JCOIN,datetime,,
duration_JCOIN,integer,0.0=Under 1 minute,
SURV_MODE,integer,1.0=Phone interview|2.0=Web Interview,1.0|2.0
SURV_LANG,integer,1.0=English|2.0=Spanish,1.0|2.0
Device,any,,
GENDER,integer,0.0=Unknown|1.0=Male|2.0=Female,0.0|1.0|2.0
AGE4,integer,1.0=18-29|2.0=30-44|3.0=45-59|4.0=60+|99.0=Under 18,1.0|2.0|99.0|3.0|4.0
AGE7,integer,1.0=18-24|2.0=25-34|3.0=35-44|4.0=45-54|5.0=55-64|6.0=65-74|7.0=75+|99.0=Under 18,1.0|2.0|3.0|4.0|5.0|6.0|7.0|99.0
RACETHNICITY,integer,"1.0=White, non-Hispanic|2.0=Black, non-Hispanic|3.0=Other, non-Hispanic|4.0=Hispanic|5.0=2+, non-Hispanic|6.0=Asian, non-Hispanic",1.0|2.0|3.0|4.0|5.0|6.0
EDUC5,integer,1.0=Less than HS|2.0=HS graduate or equivalent|3.0=Vocational/tech school/some college/ associates|4.0=Bachelor's degree|5.0=Post grad study/professional degree,1.0|2.0|3.0|4.0|5.0
MARITAL,integer,1.0=Married|2.0=Widowed|3.0=Divorced|4.0=Separated|5.0=Never married|6.0=Living with partner,1.0|2.0|3.0|4.0|5.0|6.0
EMPLOY,integer,1.0=Working – as a paid employee|2.0=Working – self employed|3.0=Not working – looking for work or on temporary layoff|4.0=Not working – retired|5.0=Not working – disabled|6.0=Not working - other,1.0|2.0|3.0|4.0|5.0|6.0
REGION4,integer,1.0=Northeast|2.0=Midwest|3.0=South|4.0=West,1.0|2.0|3.0|4.0
METRO,integer,0.0=Non-Metro Area|1.0=Metro Area,0.0|1.0
INTERNET,integer,0.0=Non-internet household|1.0=Internet Household,0.0|1.0
HOUSING,integer,1.0=Owned|2.0=Rented or occupied without payment,1.0|2.0
HOME_TYPE,integer,"1.0=A one-family house detached from any other house|2.0=A one-family house attached to one or more houses|3.0=Apartment building, mobile home or trailer, boat, RV, or other",1.0|2.0|3.0
PHONESERVICE,integer,"1.0=Landline telephone only|2.0=Have a landline, but mostly use cellphone|3.0=Have cellphone, but mostly use landline|4.0=Cellphone only|5.0=No telephone service",1.0|2.0|3.0|4.0|5.0
HHSIZE,integer,,
HH612,integer,0.0=|1.0=|2.0=|3.0=3 or more,0.0|1.0|2.0|3.0
HH1317,integer,0.0=|1.0=|2.0=2 or more,0.0|1.0|2.0
HH18OV,integer,0.0=|1.0=|2.0=|3.0=|4.0=|5.0=|6.0=6 or more,0.0|1.0|2.0|3.0|4.0|5.0|6.0
PersonalCrimJust_Ever,integer,0.0=No|1.0=Yes,0.0|1.0
PersonalMisuse_Lifetime,integer,0.0=No|1.0=Yes,0.0|1.0
FamFriendMisuse_Lifetime,integer,0.0=No|1.0=Yes,0.0|1.0
PersonalMisuse_Recent,integer,0.0=No|1.0=Yes,0.0|1.0
FamilyCrimJust_Ever,integer,0.0=No|1.0=Yes,0.0|1.0
PersonalCrimJust_Recent,integer,0.0=No|1.0=Yes,0.0|1.0
FamilyCrimJust_Recent,integer,0.0=No|1.0=Yes,0.0|1.0
SS_A_HistoryWork_REV,integer,,
SS_C_CurrentWork_REV,integer,,
SS_B_HistoryMarry_REV,integer,,
SS_D_CurrentMarry_REV,integer,,
Stigma_Scale_Score,number,,
PS_J_JailHealth_REV,integer,,
PS_K_JailOverdose_REV,integer,,
Policy_4ITEM_Scale,number,,
Policy_Attitudes_Scale,number,,
Expanded_10ITEM_Stigma,number,,
SelfHousehold_COVIDtested,integer,0.0=No|1.0=Yes,0.0|1.0
CoBRAS_Scale,number,,
MHI5_Scale,number,,
Groups10_measure,integer,0.0=No|1.0=Yes,0.0|1.0
SixFeet_Measure,integer,0.0=No|1.0=Yes,0.0|1.0
WearMask_measure,integer,0.0=No|1.0=Yes,0.0|1.0
WashHands_react_01,integer,0.0=No|1.0=Yes,0.0|1.0
Race_5cat,integer,1.0=White|2.0=Black|3.0=Other/2+|4.0=Hispanic|5.0=Asian,1.0|2.0|3.0|4.0|5.0
USregion_Northeast,integer,,
