description,title,name,type,constraints.enum,encodings,module
"Left Upper Leg[calculation: if([mbody(18)] = 1, 1, 0)]",Left Upper Leg,mbmlupleg,number,,,michigan_body_map_image_recent
"Right Knee[calculation: if([mbody(19)] = 1, 1, 0)]",Right Knee,mbmrknee,number,,,michigan_body_map_image_recent
"Left Knee[calculation: if([mbody(20)] = 1, 1, 0)]",Left Knee,mbmlknee,number,,,michigan_body_map_image_recent
"Right Lower Leg[calculation: if([mbody(21)] = 1, 1, 0)]",Right Lower Leg,mbmrlowleg,number,,,michigan_body_map_image_recent
"Left Lower Leg[calculation: if([mbody(22)] = 1, 1, 0)]",Left Lower Leg,mbmllowleg,number,,,michigan_body_map_image_recent
"Right Foot[calculation: if([mbody(23)] = 1, 1, 0)]",Right Foot,mbmrfoot,number,,,michigan_body_map_image_recent
"Left Foot[calculation: if([mbody(24)] = 1, 1, 0)]",Left Foot,mbmlfoot,number,,,michigan_body_map_image_recent
"Head[calculation: if([mbody(25)] = 1, 1, 0)]",Head,mbmhead,number,,,michigan_body_map_image_recent
"Neck[calculation: if([mbody(26)] = 1, 1, 0)]",Neck,mbmneck,number,,,michigan_body_map_image_recent
"Left Shoulder[calculation: if([mbody(27)] = 1, 1, 0)]",Left Shoulder,mbmlshldr,number,,,michigan_body_map_image_recent
"Right Shoulder[calculation: if([mbody(28)] = 1, 1, 0)]",Right Shoulder,mbmrshldr,number,,,michigan_body_map_image_recent
"Upper Back[calculation: if([mbody(29)] = 1, 1, 0)]",Upper Back,mbmupback,number,,,michigan_body_map_image_recent
"Lower Back[calculation: if([mbody(30)] = 1, 1, 0)]",Lower Back,mbmlowback,number,,,michigan_body_map_image_recent
"Left Hip[calculation: if([mbody(31)] = 1, 1, 0)]",Left Hip,mbmlhip,number,,,michigan_body_map_image_recent
"Right Hip[calculation: if([mbody(32)] = 1, 1, 0)]",Right Hip,mbmrhip,number,,,michigan_body_map_image_recent
"Left Buttock[calculation: if([mbody(33)] = 1, 1, 0)]",Left Buttock,mbmlbttck,number,,,michigan_body_map_image_recent
"Right Buttock[calculation: if([mbody(34)] = 1, 1, 0)]",Right Buttock,mbmrbttck,number,,,michigan_body_map_image_recent
"No Pain[calculation: if([mbody(35)] = 1, 1, 0)]",No Pain,mbmnone,number,,,michigan_body_map_image_recent
"Total Michigan Body Map Score[calculation: sum([mbmface], [mbmrjaw], [mbmljaw], [mbmrchest], [mbmlchest], [mbmruparmbm], [mbmluparmbm], [mbmrelbw], [mbmlelbw], [mbmrlowarmbm], [mbmllowarmbm], [mbmrhand], [mbmlhand], [mbmabdombmen], [mbmpelvis], [mbmrgroin], [mbmlgroin], [mbmrupleg], [mbmlupleg], [mbmrknee], [mbmlknee], [mbmrlowleg], [mbmllowleg], [mbmrfoot], [mbmlfoot], [mbmhead], [mbmneck], [mbmlshldr], [mbmrshldr], [mbmupback], [mbmlowback], [mbmlhip], [mbmrhip], [mbmlbttck], [mbmrbttck])]",Total Michigan Body Map Score,mbmcurrent_total,number,,,michigan_body_map_image_recent
